,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.58544921875,0.3607395751376869,0.37133093483195573,0.6015496160700571
1,8,False,both,0.774609375,0.7499624116674184,0.597619966515233,0.7706076062983428
2,16,False,both,0.78994140625,0.7469512195121951,0.5939014413858836,0.7855321461574832
3,32,False,both,0.7945963541666666,0.7760325770796976,0.6100950121193044,0.7898528308632892
4,64,False,both,0.78701171875,0.7665397094089434,0.600112742780272,0.7801959926556727
5,128,False,both,0.7685221354166667,0.7398629354654483,0.5888751314806894,0.7632696912245241
6,200,False,both,0.7590169270833333,0.7291377876351539,0.5739643867166238,0.7547142313529422
7,4,True,RNA,0.7537434895833334,0.737332918868511,0.5895162754585951,0.7578910480877187
8,4,True,image,0.19697265625,0.013337567481740236,0.059851900195498575,0.12987463647510464
9,8,True,RNA,0.7758138020833333,0.7435265104808879,0.591084725695951,0.7720415191378694
10,8,True,image,0.31643880208333336,0.0019821605550049554,0.06686980006998505,0.19066670206169592
11,16,True,RNA,0.78564453125,0.7428396385357635,0.5923485728415752,0.7803917679488412
12,16,True,image,0.1240234375,0.004437541601952519,0.06254969051216407,0.11884426762353584
13,32,True,RNA,0.7980794270833333,0.7703513281919453,0.6103729375063305,0.7914319083525823
14,32,True,image,0.14899088541666666,0.027761013880506943,0.08338646973104472,0.14269978675061404
15,64,True,RNA,0.7819010416666666,0.7440242057488654,0.5984701750277698,0.7757145912193705
16,64,True,image,0.1875,0.0004594532506317482,0.051557931545253614,0.10499017622966128
17,128,True,RNA,0.7638671875,0.7348233597692861,0.5821899650727288,0.758418689850219
18,128,True,image,0.17154947916666666,0.0,0.03285477999796813,0.053113344483044646
19,200,True,RNA,0.75615234375,0.714348527040891,0.5708740911909107,0.749379493972874
20,200,True,image,0.16344401041666667,0.0018501387604070304,0.057993269549000685,0.11329518101563298
